JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456682.59359,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.689,Z,9.398,9.943,,SN 2014J,AAVSO,STD,,,,
2456682.59395,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.687,Z,9.185,9.728,,SN 2014J,AAVSO,STD,,,,
2456682.59431,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.686,Z,9.194,9.730,,SN 2014J,AAVSO,STD,,,,
2456682.59468,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.684,Z,9.197,9.719,,SN 2014J,AAVSO,STD,,,,
2456682.59504,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.683,Z,9.200,9.735,,SN 2014J,AAVSO,STD,,,,
2456682.59540,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.681,Z,9.188,9.714,,SN 2014J,AAVSO,STD,,,,
2456682.595567,11.129,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.223,9.884,,SN 2014J,AAVSO,STD,,,,
2456682.59557,11.103,0.002,,V,KPK,,ENSEMBLE,133,13198CZR,,0,,Z,,13.273,,SN 2014J,AAVSO,STD,0,,,
2456682.59576,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.680,Z,9.184,9.732,,SN 2014J,AAVSO,STD,,,,
2456682.59613,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.678,Z,9.199,9.752,,SN 2014J,AAVSO,STD,,,,
2456682.59649,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.677,Z,9.207,9.751,,SN 2014J,AAVSO,STD,,,,
