JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457115.83147,13.343,0.020,,R,CROA,,ENSEMBLE,000-BLP-862,14657YH,STANDARD MAG:  K = 11.686,0,1.18,Z,,17.987,,SN 2015F,VSS,STD,,,,
2457116.49706,13.490,0.015,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.46,Z,18.643,19.291,,SN 2015F,VVS,STD,,,,
2457116.49781,13.472,0.014,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.46,Z,18.663,19.324,,SN 2015F,VVS,STD,,,,
2457117.49639,13.557,0.014,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.46,Z,18.641,19.313,,SN 2015F,VVS,STD,,,,
2457117.49714,13.550,0.014,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.46,Z,18.644,19.298,,SN 2015F,VVS,STD,,,,
2457118.49590,13.598,0.014,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.46,Z,18.694,19.343,,SN 2015F,VVS,STD,,,,
2457118.49666,13.598,0.013,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.47,Z,18.674,19.322,,SN 2015F,VVS,STD,,,,
2457119.00347,13.8,,,Vis.,KEI,,136,139,14654GF,,,,Z,,,,SN 2015F,AAVSO,STD,,,,
2457119.244,13.30,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457120.247,13.37,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457120.49433,13.738,0.011,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.47,Z,18.669,19.339,,SN 2015F,VVS,STD,,,,
2457120.49507,13.762,0.011,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.47,Z,18.653,19.331,,SN 2015F,VVS,STD,,,,
2457120.50000,13.7,,,Vis.,FFAD,,136,139,14654AEV,,,,Z,,,,SN 2015F,,STD,,,,
2457120.90417,13.6,,,Vis.,CMQ,,136,,14641VE,,,,Z,,,,SN 2015F,,STD,,,,
2457121.269,13.42,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457121.49405,13.853,0.011,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.47,Z,18.647,19.330,,SN 2015F,VVS,STD,,,,
2457121.49479,13.826,0.012,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.47,Z,18.651,19.335,,SN 2015F,VVS,STD,,,,
2457122.257,13.48,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457122.49337,13.869,0.014,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.47,Z,18.934,19.595,,SN 2015F,VVS,STD,,,,
2457122.49412,13.880,0.013,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.47,Z,18.783,19.431,,SN 2015F,VVS,STD,,,,
2457123.45833,13.8,,,Vis.,FFAD,,139,136,14654AEV,,,,Z,,,,SN 2015F,,STD,,,,
2457123.91389,14.0,,,Vis.,CMQ,U,140,,14641VE,,,,Z,,,,SN 2015F,,STD,,,,
2457124.233,13.52,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457125.226,13.57,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457125.49123,14.111,0.015,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.48,Z,18.744,19.432,,SN 2015F,VVS,STD,,,,
2457125.49198,14.095,0.014,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.48,Z,18.748,19.409,,SN 2015F,VVS,STD,,,,
2457126.218,13.56,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457126.49296,14.179,0.016,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.48,Z,18.716,19.412,,SN 2015F,VVS,STD,,,,
2457126.49372,14.170,0.016,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.49,Z,18.706,19.384,,SN 2015F,VVS,STD,,,,
2457127.00347,14.2,,,Vis.,KEI,,139,143,14654GF,,,,Z,,,,SN 2015F,AAVSO,STD,,,,
2457127.50170,14.262,0.050,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.50,Z,20.223,20.822,,SN 2015F,VVS,STD,,,,
2457128.49140,14.268,0.015,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.49,Z,18.689,19.371,,SN 2015F,VVS,STD,,,,
2457128.49214,14.262,0.017,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.49,Z,18.694,19.370,,SN 2015F,VVS,STD,,,,
2457129.48991,14.299,0.015,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.49,Z,18.672,19.359,,SN 2015F,VVS,STD,,,,
