JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457891.43159,12.837,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.354,Z,,12.959,2457891.43065,AT 2017EAW,AAVSO,STD,,,,
2457891.43201,12.830,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.348,Z,,12.959,2457891.43107,AT 2017EAW,AAVSO,STD,,,,
2457891.43236,12.818,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.344,Z,,12.959,2457891.43142,AT 2017EAW,AAVSO,STD,,,,
2457891.43273,12.794,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.339,Z,,12.959,2457891.43179,AT 2017EAW,AAVSO,STD,,,,
2457891.43311,12.805,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.334,Z,,12.959,2457891.43217,AT 2017EAW,AAVSO,STD,,,,
2457891.43348,12.840,0.010,,V,AFSA,,NA,000-BCL-945,X18808M,,0,2.329,Z,,12.959,2457891.43254,AT 2017EAW,AAVSO,STD,,,,
2457891.45025,12.550,0.006,,R,NRNA,,000-BCL-928,,X18809JE,,0,1.705,Z,-14.037,,2457891.44931,AT 2017EAW,AAVSO,STD,,,,
2457891.45999,12.548,0.007,,R,NRNA,,000-BCL-928,,X18809JE,,0,1.641,Z,-13.642,,2457891.45905,AT 2017EAW,AAVSO,STD,,,,
2457891.487685,12.85,0.0081,,CV,UMAA,,000-BCL-945,000-BCL-940,X18838BE,,0,,Z,13.68164,14.10123,,SN 2017EAW,,STD,,,,
2457891.5014,12.7,,,Vis.,KHEA,,12.5,13.0,X18827DW,,,,Z,,,,SN 2017EAW,AAVSO,STD,,,,
2457891.50181,12.852,0.02,,V,EHEA,,ensemble,000-BCL-945,X18896Z,"""Baader-Pl. V filter ZWO ASI178MM, 6\"".""",1,,Z,,12.963,,SN 2017EAW,AAVSO,STD,,,,
2457891.50578,12.843,0.002,,V,TRT,,ENSEMBLE,148,X18861AB,,0,1.170,Z,,14.756,,SN 2017EAW,MCSE,STD,,,,
2457891.57500,12.7,0.05,,CV,WKL,,,,X18820AP,,0,,Z,12.5,13.0,,SN 2017EAW,BAV,STD,,,,
2457891.7553,13.078,0.050,,B,DJX,,Ensemble,000-BCL-922,X18920FC,66ED/400 + G3; average and SD of 4 images,1,1.433,Z,N/A,11.926,,SN 2017eaw,RASC,STD,1,,,
2457891.7569,12.826,0.033,,V,DJX,,Ensemble,000-BCL-922,X18920FC,66ED/400 + G3; average and SD of 4 images,1,1.429,Z,N/A,11.454,,SN 2017eaw,RASC,STD,1,,,
2457891.96572,13.019,0.018,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.686|VERR=0.015|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.156,Z,14.040,14.660,,SN 2017EAW,AAVSO,STD,112,,,
2457891.96723,13.035,0.018,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.684|VERR=0.015|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.154,Z,14.018,14.618,,SN 2017EAW,AAVSO,STD,113,,,
2457891.96811,12.867,0.022,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.771|VERR=0.021|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.153,Z,13.882,14.381,,SN 2017EAW,AAVSO,STD,112,,,
